crop_name,crop_category,duration_to_harvest,water_dependency,time_effort,initial_cost_inr_per_acre,maintenance_cost_inr_per_acre,sowing_temp,growth_temp,harvest_temp,sowing_rain,growth_rain,harvest_rain,sowing_hum,growth_hum,harvest_hum
Paddy,Herb,100-140 days,High,High,22000,14000,24,30,28,200,350,100,70,80,60
Rice,Herb,100-140 days,High,High,22000,14000,24,30,28,200,350,100,70,80,60
Pineapple,Herb,18-24 months,Medium,Medium,45000,22000,25,28,30,150,200,80,60,70,60
Arecanut,Tree,5-7 years,High,Low,35000,18000,26,28,28,150,250,100,60,80,70
Turmeric,Herb,7-9 months,Medium,High,40000,22000,25,28,26,180,200,50,70,80,60
Cashew,Tree,3-4 years,Low,Low,25000,10000,28,30,32,100,150,20,50,60,40
Coconut,Tree,5-7 years,Medium,Low,30000,12000,27,27,27,150,200,100,70,80,70
Ginger,Herb,7-8 months,Medium,High,50000,28000,24,28,26,200,250,50,70,80,60
Pepper,Vine,2-3 years,Medium,High,45000,22000,25,28,28,200,300,100,70,85,70
Coffee,Shrub,3-4 years,Medium,Medium,60000,30000,22,25,24,150,200,80,70,80,60
Papaya,Herb,9-12 months,Medium,Medium,30000,18000,26,30,32,120,180,60,60,70,60
Jackfruit,Tree,3-5 years,Low,Low,22000,10000,25,28,30,120,180,80,60,70,60
Banana,Herb,10-12 months,High,Medium,40000,18000,26,30,28,250,350,150,70,85,70
Tapioca,Shrub,8-10 months,Low,Low,14000,6000,26,28,30,100,120,40,50,60,50
